Country ,Country IOS Code,Region,Population  2012 (in thousands),GDP based on PPP  2011 in dollars,GDP in current Dollars 2012 (in millions ),GDP Per Capita based on PPP  2011,GDP Per Capita in current Dollars 2011,Human Development Index (HDI) value 2012
Afghanistan,AFG,Southern Asia,"30,552",n/a," 20,496.78 ",n/a,n/a,0.374
Albania,ALB,Southern Europe,"3,173","28,211.43"," 12,648.10 ","9,962.57","4,466.89",0.749
Algeria,DZA,Northern Africa,"39,208","474,759.23"," 205,788.80 ","13,195.02","5,518.01",0.713
Angola,AGO,Middle Africa,"21,472","142,979.31"," 114,147.03 ","7,288.01","5,311.25",0.508
Argentina,ARG,South America,"41,446",n/a," 475,501.68 ",n/a,n/a,0.811
Armenia,ARM,Western Asia,"2,977","20,192.63"," 9,950.52 ","6,696.06","3,363.22",0.729
Australia,AUS,Oceania,"23,343","955,980.51"," 1,532,407.88 ","42,000.44","65,463.91",0.938
Austria,AUT,Western Europe,"8,495","360,521.87"," 394,454.29 ","42,978.11","49,589.83",0.895
Azerbaijan,AZE,Western Asia,"9,413","144,513.93"," 66,604.59 ","15,962.92","7,284.97",0.734
Bangladesh,BGD,Southern Asia,"156,595","419,214.90"," 116,355.06 ","2,800.37",874.09,0.515
Belarus,BLR,Eastern Europe,"9,357","157,283.93"," 63,267.02 ","16,603.09","5,595.66",0.793
Belgium,BEL,Western Europe,"11,104","440,137.89"," 482,951.30 ","40,092.72","46,758.93",0.897
Benin,BEN,Western Africa,"10,323","16,071.10"," 7,557.29 ","1,766.07",801.07,0.436
Bolivia (Plurinational State of),BOL,South America,"10,671","56,389.56"," 27,035.11 ","5,557.02","2,360.07",0.675
Bosnia and Herzegovina,BIH,Southern Europe,"3,829","36,971.90"," 17,465.96 ","9,628.76","4,956.64",0.735
Botswana,BWA,Southern Africa,"2,021","27,229.31"," 14,504.34 ","13,408.58","7,380.59",0.634
Brazil,BRA,South America,"200,362","2,816,317.15"," 2,252,664.12 ","14,639.42","12,873.80",0.73
Bulgaria,BGR,Eastern Europe,"7,223","114,060.61"," 50,972.11 ","15,522.04","7,283.66",0.782
Burkina Faso,BFA,Western Africa,"16,935","22,786.14"," 10,726.30 ","1,342.90",608.06,0.343
Burundi,BDI,Eastern Africa,"10,163","6,106.47"," 2,472.38 ",712.11,240.43,0.355
Cambodia,KHM,South-Eastern Asia,"15,135","38,652.01"," 14,038.38 ","2,716.98",901.83,0.543
Cameroon,CMR,Middle Africa,"22,254","55,215.70"," 25,321.59 ","2,756.60","1,327.35",0.495
Canada,CAN,Northern America,"35,182","1,416,166.84"," 1,779,634.71 ","41,068.81","51,571.90",0.911
Central African Republic,CAF,Middle Africa,4616,"4,024.53"," 2,184.18 ",896.96,486.36,0.352
Chad,TCD,Middle Africa,"12,825","22,860.89"," 12,887.07 ","1,983.51","1,052.75",0.34
Chile,CHL,South America,"17,620","349,100.04"," 269,869.34 ","20,216.30","14,546.37",0.819
China,CHN,Eastern Asia,"1,385,567","13,495,910.44"," 8,227,102.63 ","10,056.71","5,456.06",0.699
Colombia,COL,South America,"48,321","534,994.15"," 369,606.33 ","11,360.48","7,142.24",0.719
"Congo, Dem. Rep.",COD,Middle Africa,"67,514","44,352.35"," 17,203.98 ",654.57,371.51,0.534
"Congo, Rep.",COG,Middle Africa,"4,448","24,135.95"," 13,677.93 ","5,830.30","3,574.53",0.304
Costa Rica,CRI,Central America,"4,872","59,837.51"," 45,103.96 ","13,030.39","8,935.05",0.773
Cote d'Ivoire,CIV,Western Africa,"20,316","53,785.92"," 24,680.37 ","2,668.89","1,290.87",0.432
Croatia,HRV,Southern Europe,"4,290","86,838.35"," 59,228.25 ","20,308.31","14,429.24",0.805
Cuba,CUB,Caribbean,"11,266",n/a,n/a,n/a,n/a,0.78
Czech Republic,CZE,Eastern Europe,"10,702","283,887.91"," 196,446.23 ","27,045.44","20,591.85",0.873
Denmark,DNK,Northern Europe,"5,619","233,022.25"," 315,163.06 ","41,842.75","60,030.40",0.901
