Country ,Country IOS Code,Region,Population  2012 (in thousands),GDP based on PPP  2011 in dollars,GDP in current Dollars 2012 (in millions ),GDP Per Capita based on PPP  2011,GDP Per Capita in current Dollars 2011,Human Development Index (HDI) value 2012
Afghanistan,AFG,Southern Asia,30552.00,n/a,20496.78,n/a,n/a,0.374
Albania,ALB,Southern Europe,3173.00,28211.43,12648.10,9962.57,4466.89,0.749
Algeria,DZA,Northern Africa,39208.00,474759.23,205788.80,13195.02,5518.01,0.713
American Samoa,ASM,Polynesia,n/a,n/a,n/a,n/a,n/a,n/a
Andorra,ADO,Southern Europe,79.00,n/a,n/a,n/a,n/a,0.846
Angola,AGO,Middle Africa,21472.00,142979.31,114147.03,7288.01,5311.25,0.508
Anguilla,AIA,Caribbean,n/a,380.64,n/a,27274.21,20981.85,n/a
Antigua and Barbuda,ATG,Caribbean,90.00,1757.58,1134.16,20540.40,13172.13,0.760
Argentina,ARG,South America,41446.00,n/a,475501.68,n/a,n/a,0.811
Armenia,ARM,Western Asia,2977.00,20192.63,9950.52,6696.06,3363.22,0.729
Aruba,ABW,Caribbean,n/a,3671.25,n/a,36016.67,25354.91,n/a
Australia,AUS,Oceania,23343.00,955980.51,1532407.88,42000.44,65463.91,0.938
Austria,AUT,Western Europe,8495.00,360521.87,394454.29,42978.11,49589.83,0.895
Azerbaijan,AZE,Western Asia,9413.00,144513.93,66604.59,15962.92,7284.97,0.734
"Bahamas, The",BHS,Caribbean,377.00,8293.48,8149.00,22639.31,21490.36,0.794
Bahrain,BHR,Western Asia,1332.00,51816.63,30362.32,43360.47,24200.47,0.796
Bangladesh,BGD,Southern Asia,156595.00,419214.90,116355.06,2800.37,874.09,0.515
Barbados,BRB,Caribbean,285.00,4326.72,4224.85,15353.64,15482.58,0.825
Belarus,BLR,Eastern Europe,9357.00,157283.93,63267.02,16603.09,5595.66,0.793
Belgium,BEL,Western Europe,11104.00,440137.89,482951.30,40092.72,46758.93,0.897
Belize,BLZ,Central America,332.00,2597.35,n/a,8212.20,4721.20,0.702
Benin,BEN,Western Africa,10323.00,16071.10,7557.29,1766.07,801.07,0.436
Bermuda,BMU,Northern America,n/a,3553.15,5473.54,54898.65,85838.92,n/a
Bhutan,BTN,Southern Asia,754.00,5099.02,1779.56,7199.31,2600.14,0.538
Bolivia (Plurinational State of),BOL,South America,10671.00,56389.56,27035.11,5557.02,2360.07,0.675
Bosnia and Herzegovina,BIH,Southern Europe,3829.00,36971.90,17465.96,9628.76,4956.64,0.735
Botswana,BWA,Southern Africa,2021.00,27229.31,14504.34,13408.58,7380.59,0.634
Brazil,BRA,South America,200362.00,2816317.15,2252664.12,14639.42,12873.80,0.730
British Virgin Islands,VGB,Caribbean,n/a,n/a,n/a,n/a,n/a,n/a
Brunei Darussalam,BRN,South-Eastern Asia,418.00,29265.55,16953.95,74396.62,42431.94,0.855
